symbol,quarter,promoter,public
GODREJPROP,2020-12-31,64.44,35.56
INDOWIND,2020-12-31,50.32,49.68
JAYNECOIND,2020-12-31,70.98,29.02
JINDALPOLY,2020-12-31,74.55,25.45
JINDALSTEL,2020-12-31,60.47,39.53
KIRLOSBROS,2020-12-31,65.95,34.05
KSOILS,2020-12-31,7.54,92.46
LINCOLN,2020-12-31,32.68,67.32
MAGNUM,2020-12-31,53.18,46.82
MANINDS,2020-12-31,42.62,57.38
MINDACORP,2020-12-31,64.73,33.35
MITCON,2020-12-31,0.0,100.0
MODTHREAD,2020-12-31,65.1,34.9
MONTECARLO,2020-12-31,68.2,31.8
MSPL,2020-12-31,41.62,58.38
MTNL,2020-12-31,56.89,43.11
MURUDCERA,2020-12-31,66.83,33.17
NIPPOBATRY,2020-12-31,65.35,34.65
NIRAJISPAT,2020-12-31,74.59,25.42
PUNJLLOYD,2020-12-31,13.93,86.07
SALSTEEL,2020-12-31,50.56,49.44
SANDHAR,2020-12-31,70.32,29.68
SANWARIA,2020-12-31,39.36,60.64
SOBHA,2020-12-31,51.99,48.01
STARPAPER,2020-12-31,45.17,54.83
SUDARCOLOR,2020-12-31,51.0,49.0
TALWALKARS,2020-12-31,38.49,61.51
UPL,2020-12-31,28.02,71.98
VBL,2020-12-31,66.4,33.6
WEBELSOLAR,2020-12-31,25.39,74.61
WEWIN,2020-12-31,68.14,31.86
WILLAMAGOR,2020-12-31,62.01,37.99
WSI,2020-12-31,37.69,62.31
A2ZINFRA,2021-03-31,28.14,71.86
BAJAJCON,2021-03-31,38.04,61.96
BAJAJFINSV,2021-03-31,60.8,39.02
BBTC,2021-03-31,74.05,25.95
BBTCL,2021-03-31,71.43,28.57
BCG,2021-03-31,7.25,92.75
BFINVEST,2021-03-31,74.13,25.87
BFUTILITIE,2021-03-31,56.74,43.26
BGLOBAL,2021-03-31,48.62,51.38
BHARATFORG,2021-03-31,46.25,53.75
BRNL,2021-03-31,53.76,46.24
BUTTERFLY,2021-03-31,64.78,35.22
CAMLINFINE,2021-03-31,21.73,78.27
CANDC,2021-03-31,32.36,67.64
CREDITACC,2021-03-31,73.99,26.01
ERIS,2021-03-31,54.13,45.87
GATECH,2021-03-31,18.68,81.32
INDLMETER,2021-03-31,37.33,62.67
INDOWIND,2021-03-31,47.93,52.07
INDRAMEDCO,2021-03-31,51.0,49.0
JAYNECOIND,2021-03-31,70.98,29.02
JHS,2021-03-31,41.78,58.22
JINDALSTEL,2021-03-31,60.47,39.53
JKIL,2021-03-31,46.51,53.49
KAYA,2021-03-31,59.93,40.07
KIRLOSBROS,2021-03-31,65.95,34.05
KSOILS,2021-03-31,7.54,92.46
LINCOLN,2021-03-31,37.26,62.74
LXCHEM,2021-03-31,72.92,27.08
MAGNUM,2021-03-31,53.18,46.82
MANINDS,2021-03-31,42.62,57.38
MARATHON,2021-03-31,74.97,25.03
MITCON,2021-03-31,0.0,100.0
MONTECARLO,2021-03-31,73.17,26.81
MSPL,2021-03-31,41.62,58.38
MSTCLTD,2021-03-31,64.75,35.25
MURUDCERA,2021-03-31,69.85,30.15
NEUEON,2021-03-31,37.27,62.73
NIRAJISPAT,2021-03-31,74.59,25.42
PATINTLOG,2021-03-31,42.8,57.2
PNBHOUSING,2021-03-31,32.64,67.36
PREMEXPLN,2021-03-31,41.33,58.67
PROZONER,2021-03-31,29.87,70.13
PUNJLLOYD,2021-03-31,7.72,92.28
RESPONIND,2021-03-31,50.13,49.87
SALSTEEL,2021-03-31,50.56,49.44
SANDHAR,2021-03-31,70.35,29.65
SCHAEFFLER,2021-03-31,74.13,25.87
SOBHA,2021-03-31,51.99,48.01
SUDARCOLOR,2021-03-31,51.0,49.0
TALWALKARS,2021-03-31,32.9,67.11
TARAPUR,2021-03-31,44.63,55.37
TERASOFT,2021-03-31,47.54,52.46
TRF,2021-03-31,34.12,65.88
UGARSUGAR,2021-03-31,45.23,54.77
UNIVPHOTO,2021-03-31,74.55,25.45
UPL,2021-03-31,28.12,71.88
VBL,2021-03-31,66.4,33.6
WEWIN,2021-03-31,68.26,31.74
WILLAMAGOR,2021-03-31,62.01,37.99
WSI,2021-03-31,37.69,62.31
A2ZINFRA,2021-06-30,28.14,71.86
AGRITECH,2021-06-30,45.47,54.53
AJOONI,2021-06-30,51.64,48.36
ALPHAGEO,2021-06-30,46.21,53.79
ARIHANTCAP,2021-06-30,74.57,25.43
ASTRAL,2021-06-30,55.74,44.26
AURUM,2021-06-30,35.04,64.96
BBTC,2021-06-30,74.05,25.95
BCG,2021-06-30,7.05,92.95
BFINVEST,2021-06-30,74.13,25.87
BFUTILITIE,2021-06-30,56.74,43.26
BHARATFORG,2021-06-30,45.25,54.75
BIOFILCHEM,2021-06-30,46.82,53.18
BUTTERFLY,2021-06-30,64.78,35.22
CAMLINFINE,2021-06-30,21.71,78.29
CAMS,2021-06-30,30.96,69.04
CANDC,2021-06-30,32.36,67.64
CCCL,2021-06-30,15.51,84.49
CROMPTON,2021-06-30,5.99,94.01
